 age(yr) M*(M_sun) L*(L_sun) T(K) R*(R_sun)
78 7.6907814113e+06 1.9799923152e+00 1.9861439148e+01 1.0274857824e+04 1.4064712755e+00
79 7.5248734802e+06 1.9999922153e+00 2.0648575978e+01 1.0356301871e+04 1.4116037493e+00
80 7.2736775389e+06 2.0199921703e+00 2.1510510003e+01 1.0441090693e+04 1.4174598612e+00
81 7.1345021290e+06 2.0399920617e+00 2.2330779606e+01 1.0520058886e+04 1.4226325896e+00
82 7.0002358668e+06 2.0599919522e+00 2.3177994771e+01 1.0598121719e+04 1.4280955843e+00
83 6.8610980586e+06 2.0799918486e+00 2.4055336017e+01 1.0676596484e+04 1.4335644009e+00
84 6.7834159194e+06 2.0999917056e+00 2.4937846360e+01 1.0752485556e+04 1.4390930937e+00
85 6.4982383730e+06 2.1199917097e+00 2.5932913848e+01 1.0835670623e+04 1.4450777712e+00
86 6.3656185972e+06 2.1399916118e+00 2.6882085423e+01 1.0912265538e+04 1.4507039032e+00
87 6.2443687115e+06 2.1599915082e+00 2.7856951004e+01 1.0988243104e+04 1.4564226486e+00
88 6.1544966606e+06 2.1799913828e+00 2.8845633645e+01 1.1062923278e+04 1.4621010630e+00
89 6.1131567269e+06 2.1999912200e+00 2.9856823180e+01 1.1136455127e+04 1.4679288545e+00
90 5.9830380813e+06 2.2199911292e+00 3.0917575592e+01 1.1211791172e+04 1.4737705287e+00
91 5.8543242687e+06 2.2399910407e+00 3.2002489430e+01 1.1286304087e+04 1.4796722840e+00
92 5.7322111841e+06 2.2599909495e+00 3.3116432659e+01 1.1360612038e+04 1.4855780298e+00
93 5.5277551577e+06 2.2799909356e+00 3.4279437468e+01 1.1435628590e+04 1.4916739721e+00
94 5.3950318647e+06 2.2999908632e+00 3.5454201182e+01 1.1509339428e+04 1.4976495765e+00
95 5.3569150019e+06 2.3199907052e+00 3.6630253564e+01 1.1580231228e+04 1.5037050289e+00
