 age(yr) mass(M_sun) logL(L/L_sun) logT(K) logR(R/R_sun) phase
147 171319.24801455854 9.999610375543751 3.764609811505065 4.434686699053328 0.5356086598279908 0.0
148 145889.3045100614 10.999496336025498 3.8910321433878576 4.454284912709164 0.5596233984577156 0.0
149 123237.08329555145 11.99935035739642 4.005158041987547 4.471873895780738 0.5815083816144104 0.0
150 103741.35789574195 12.99917947936772 4.108616311073025 4.487770963335609 0.6014433810474079 0.0
151 93014.62775350067 13.998971281311666 4.201800923286051 4.501856340116952 0.6198649335912346 0.0
152 84441.75395247388 14.99872753038013 4.2872686494810575 4.514664979694188 0.6369815175342668 0.0
153 77103.94579636812 15.99845044548274 4.366020424721579 4.526385312750828 0.6529167390412451 0.0
154 68927.56362463199 16.998151133938336 4.43941202273587 4.537257641800404 0.6678678799492402 0.0
155 61922.51720730323 17.997820968064413 4.5075958409861245 4.547305745833737 0.6818635810077016 0.0
156 59278.939141097726 18.99741197725964 4.570307459141248 4.556368507333514 0.6950938670857093 0.0
157 52785.383414027325 19.99703559618733 4.630141459328367 4.565091700721628 0.7075644804030417 0.0
158 48335.3952206618 21.99602807775315 4.737215139074904 4.58032498452993 0.7306347526597062 0.0
159 42589.5758970345 23.994931002696656 4.83330316446581 4.593853522283865 0.7516216898472858 0.0
160 37899.51592291256 25.993691371052503 4.9196630610487295 4.605818479700812 0.770871723304855 0.0
161 34550.422401822725 27.992269608352014 4.997731723853632 4.616453575228594 0.7886358636517427 0.0
162 31870.92538153519 29.990670063354568 5.068873500914485 4.625949555024323 0.8052147925907096 0.0
163 29924.71532851512 31.988936883192657 5.133941747976578 4.634474481516656 0.8206990631370902 0.0
164 27940.454803419816 33.98710878718191 5.194140581369787 4.642238602820288 0.8352702372264307 0.0
165 26225.773688629903 35.9852125960082 5.2499492581842535 4.649314522974714 0.8490227353248131 0.0
166 24632.97144994311 37.983351532195655 5.301952703398257 4.655850235523355 0.8619530328345331 0.0
167 23763.720858900448 39.98131216363647 5.3502267031506845 4.66178949126857 0.8742115212203166 0.0
168 21530.21018547955 44.97673602661455 5.458638153272833 4.674849898507831 0.902296431802868 0.0
169 20580.245071031266 49.9721308907324 5.552410483428328 4.685665697713028 0.927550998470222 0.0
170 18757.019021466134 54.96853688958055 5.635084805453513 4.695016434397781 0.950186686113308 0.0
171 16861.588665182077 59.9654355289149 5.708743287866035 4.703151976727429 0.970744842660274 0.0
172 16839.359337153197 64.9605048432152 5.773916424720088 4.710015134854912 0.9896050948323296 0.0
173 16110.038514782644 69.95680436408024 5.833477313478921 4.7161702098271805 1.0070753892672129 0.0
174 15187.73312994552 74.95503587570266 5.8879514958656 4.721714934458576 1.0232230311977626 0.0
175 13347.190214992337 79.95560744146918 5.9385246616145775 4.726893150240004 1.0381531825093944 0.0
176 13704.8862051799 84.95000238469446 5.984215432941598 4.731238724869526 1.0523074189138628 0.0
177 12007.293762960677 89.94926599303189 6.027662356555951 4.735474831894225 1.0655586666716388 0.0
178 11711.511115356278 94.94514331137688 6.067492756043703 4.739155635145004 1.0781122599139576 0.0
179 11189.773044638632 99.94229632108959 6.104967681576268 4.742493931683921 1.0901731296024053 0.0
180 10726.135415921432 104.93990213861878 6.140165205332283 4.745547811092798 1.1016641326626584 0.0
181 10267.485472449396 109.93881894004521 6.1733360073577535 4.748375462379215 1.1125942311025607 0.0
182 9883.492615146728 114.93848043228901 6.2046947417132765 4.7509697521601515 1.123085018718451 0.0
183 9628.522013797996 119.93882766362866 6.234354840122777 4.75336451509904 1.1331255420454227 0.0
184 9524.928674797184 124.93346040547891 6.262452374813099 4.7555524266451865 1.1427984862982892 0.0
185 9101.139675781358 129.93001880388576 6.289371733153978 4.7575940424331815 1.152174933892739 0.0
186 8905.962737780843 134.92552204074678 6.314949691033884 4.759475474600737 1.161201048497582 0.0
187 8174.942085616874 139.9249408470892 6.3396345440198045 4.7612984487681675 1.1698975266556826 0.0
188 7872.851664433821 144.9222156482546 6.363108481707171 4.7630067016920075 1.178217989651685 0.0
189 7220.387265438707 149.92379993651818 6.38574805665372 4.764720815719107 1.1861095490707605 0.0
190 6922.603296344292 174.91042211287998 6.485775209546903 4.7717001937803145 1.2221643693949351 0.0
191 6120.645060533409 199.90186971311095 6.570260313036784 4.777058184133353 1.253690940433798 0.0
192 6034.1770455188525 224.8836949878272 6.642792156512956 4.781305373725393 1.281462482987804 0.0
193 5828.277272940379 249.86860698360783 6.706330677683185 4.784751470941528 1.3063395491406486 0.0
194 5357.677548641243 274.8589815975501 6.763065087034238 4.787650631583948 1.3289084325313365 0.0
195 5232.626182169427 299.8427982735996 6.813954057090236 4.7900886415562605 1.3494768976147098 0.0
